 time index spike
0 89513.2 0 0
1 89513.2 1 0
2 89513.2 2 0
3 89513.2 3 0
4 89513.2 4 0
5 89513.2 5 0
6 89513.2 6 0
7 89513.2 7 0
8 89513.2 8 0
9 89513.2 9 0
10 89513.2 10 0
11 89513.2 11 0
12 89513.2 12 0
13 89513.2 13 0
14 89513.2 14 0
15 89513.2 15 0
16 89513.2 16 0
17 89513.2 17 0
18 89513.2 18 0
19 89513.2 19 0
20 89513.2 20 0
21 89513.2 21 0
22 89513.2 22 0
23 89513.2 23 0
24 89513.2 24 0
25 89513.2 25 0
26 89513.2 26 0
27 89513.2 27 0
28 89513.2 28 0
29 89513.2 29 0
30 89513.2 30 0
31 89513.2 31 0
32 89513.2 32 0
33 89513.2 33 0
34 89513.2 34 0
35 89513.2 35 0
36 89513.2 36 1
37 89513.2 37 0
38 89513.2 38 0
39 89513.2 39 0
40 89513.2 40 0
41 89513.2 41 0
42 89513.2 42 0
43 89513.2 43 0
44 89513.2 44 0
45 89513.2 45 0
46 89513.2 46 0
47 89513.2 47 0
48 89513.2 48 0
49 89513.2 49 0
50 89513.2 50 0
51 89513.2 51 0
52 89513.2 52 0
53 89513.2 53 0
54 89513.2 54 0
55 89513.2 55 0
56 89513.2 56 0
57 89513.2 57 0
58 89513.2 58 0
59 89513.2 59 0
60 89513.2 60 0
61 89513.2 61 0
62 89513.2 62 0
63 89513.2 63 0
64 89513.2 64 0
65 89513.2 65 0
66 89513.2 66 0
67 89513.2 67 0
68 89513.2 68 0
69 89513.2 69 0
70 89513.2 70 0
71 89513.2 71 0
72 89513.2 72 0
73 89513.2 73 0
74 89513.2 74 0
75 89513.2 75 0
76 89513.2 76 0
77 89513.2 77 0
78 89513.2 78 0
79 89513.2 79 0
80 89513.2 80 0
81 89513.2 81 0
82 89513.2 82 0
83 89513.2 83 0
84 89513.2 84 0
85 89513.2 85 0
86 89513.2 86 0
87 89513.2 87 0
88 89513.2 88 0
89 89513.2 89 0
90 89513.2 90 0
91 89513.2 91 0
92 89513.2 92 0
93 89513.2 93 0
94 89513.2 94 0
95 89513.2 95 0
96 89513.2 96 0
97 89513.2 97 0
98 89513.2 98 0
99 89513.2 99 0
100 89513.2 100 0
101 89513.9 0 0
102 89513.9 1 0
103 89513.9 2 0
104 89513.9 3 0
105 89513.9 4 0
106 89513.9 5 0
107 89513.9 6 0
108 89513.9 7 0
109 89513.9 8 0
110 89513.9 9 0
111 89513.9 10 0
112 89513.9 11 0
113 89513.9 12 0
114 89513.9 13 0
115 89513.9 14 1
116 89513.9 15 0
117 89513.9 16 0
118 89513.9 17 0
119 89513.9 18 0
120 89513.9 19 0
121 89513.9 20 0
122 89513.9 21 0
123 89513.9 22 0
124 89513.9 23 0
125 89513.9 24 0
126 89513.9 25 0
127 89513.9 26 0
128 89513.9 27 0
129 89513.9 28 0
130 89513.9 29 0
131 89513.9 30 0
132 89513.9 31 0
133 89513.9 32 0
134 89513.9 33 0
135 89513.9 34 0
136 89513.9 35 0
137 89513.9 36 0
138 89513.9 37 0
139 89513.9 38 0
140 89513.9 39 0
141 89513.9 40 0
142 89513.9 41 0
143 89513.9 42 0
144 89513.9 43 0
145 89513.9 44 0
146 89513.9 45 0
147 89513.9 46 0
148 89513.9 47 0
149 89513.9 48 0
150 89513.9 49 0
151 89513.9 50 0
152 89513.9 51 0
153 89513.9 52 0
154 89513.9 53 0
155 89513.9 54 0
156 89513.9 55 0
157 89513.9 56 0
158 89513.9 57 0
159 89513.9 58 0
160 89513.9 59 0
161 89513.9 60 0
162 89513.9 61 0
163 89513.9 62 0
164 89513.9 63 0
165 89513.9 64 0
166 89513.9 65 0
167 89513.9 66 0
168 89513.9 67 0
169 89513.9 68 0
170 89513.9 69 0
171 89513.9 70 0
172 89513.9 71 0
173 89513.9 72 0
174 89513.9 73 0
175 89513.9 74 0
176 89513.9 75 0
177 89513.9 76 0
178 89513.9 77 0
179 89513.9 78 0
180 89513.9 79 0
181 89513.9 80 0
182 89513.9 81 0
183 89513.9 82 0
184 89513.9 83 0
185 89513.9 84 0
186 89513.9 85 0
187 89513.9 86 0
188 89513.9 87 0
189 89513.9 88 0
190 89513.9 89 0
191 89513.9 90 0
192 89513.9 91 0
193 89513.9 92 0
194 89513.9 93 0
195 89513.9 94 0
196 89513.9 95 0
197 89513.9 96 0
198 89513.9 97 0
199 89513.9 98 0
200 89513.9 99 0
201 89513.9 100 0
202 89514.3 0 0
203 89514.3 1 0
204 89514.3 2 0
205 89514.3 3 0
206 89514.3 4 0
207 89514.3 5 0
208 89514.3 6 0
209 89514.3 7 0
210 89514.3 8 1
211 89514.3 9 0
212 89514.3 10 0
213 89514.3 11 0
214 89514.3 12 0
215 89514.3 13 0
216 89514.3 14 0
217 89514.3 15 0
218 89514.3 16 0
219 89514.3 17 0
220 89514.3 18 0
221 89514.3 19 0
222 89514.3 20 0
223 89514.3 21 0
224 89514.3 22 0
225 89514.3 23 0
226 89514.3 24 0
227 89514.3 25 0
228 89514.3 26 0
229 89514.3 27 0
230 89514.3 28 0
231 89514.3 29 0
232 89514.3 30 0
233 89514.3 31 0
234 89514.3 32 0
235 89514.3 33 0
236 89514.3 34 0
237 89514.3 35 0
238 89514.3 36 0
239 89514.3 37 0
240 89514.3 38 0
241 89514.3 39 0
242 89514.3 40 0
243 89514.3 41 0
244 89514.3 42 0
245 89514.3 43 0
246 89514.3 44 0
247 89514.3 45 0
248 89514.3 46 0
249 89514.3 47 0
250 89514.3 48 0
251 89514.3 49 0
252 89514.3 50 0
253 89514.3 51 0
254 89514.3 52 0
255 89514.3 53 0
256 89514.3 54 0
257 89514.3 55 0
258 89514.3 56 0
259 89514.3 57 0
260 89514.3 58 0
261 89514.3 59 0
262 89514.3 60 0
263 89514.3 61 0
264 89514.3 62 0
265 89514.3 63 0
266 89514.3 64 0
267 89514.3 65 0
268 89514.3 66 0
269 89514.3 67 0
270 89514.3 68 0
271 89514.3 69 0
272 89514.3 70 0
273 89514.3 71 0
274 89514.3 72 0
275 89514.3 73 0
276 89514.3 74 0
277 89514.3 75 0
278 89514.3 76 0
279 89514.3 77 0
280 89514.3 78 0
281 89514.3 79 0
282 89514.3 80 0
283 89514.3 81 0
284 89514.3 82 0
285 89514.3 83 0
286 89514.3 84 0
287 89514.3 85 0
288 89514.3 86 0
289 89514.3 87 0
290 89514.3 88 0
291 89514.3 89 0
292 89514.3 90 0
293 89514.3 91 0
294 89514.3 92 0
295 89514.3 93 0
296 89514.3 94 0
297 89514.3 95 0
298 89514.3 96 0
299 89514.3 97 0
300 89514.3 98 0
301 89514.3 99 0
302 89514.3 100 0
303 89514.5 0 0
304 89514.5 1 0
305 89514.5 2 0
306 89514.5 3 0
307 89514.5 4 0
308 89514.5 5 0
309 89514.5 6 0
310 89514.5 7 0
311 89514.5 8 0
312 89514.5 9 0
313 89514.5 10 0
314 89514.5 11 0
315 89514.5 12 0
316 89514.5 13 0
317 89514.5 14 0
318 89514.5 15 0
319 89514.5 16 0
320 89514.5 17 0
321 89514.5 18 0
322 89514.5 19 0
323 89514.5 20 0
324 89514.5 21 0
325 89514.5 22 0
326 89514.5 23 0
327 89514.5 24 0
328 89514.5 25 0
329 89514.5 26 0
330 89514.5 27 0
331 89514.5 28 0
