 time index spike
0 87510.2 0 0
1 87510.2 1 0
2 87510.2 2 0
3 87510.2 3 0
4 87510.2 4 0
5 87510.2 5 0
6 87510.2 6 0
7 87510.2 7 0
8 87510.2 8 0
9 87510.2 9 0
10 87510.2 10 0
11 87510.2 11 0
12 87510.2 12 0
13 87510.2 13 0
14 87510.2 14 0
15 87510.2 15 0
16 87510.2 16 0
17 87510.2 17 0
18 87510.2 18 0
19 87510.2 19 0
20 87510.2 20 0
21 87510.2 21 0
22 87510.2 22 0
23 87510.2 23 0
24 87510.2 24 0
25 87510.2 25 0
26 87510.2 26 0
27 87510.2 27 0
28 87510.2 28 0
29 87510.2 29 0
30 87510.2 30 0
31 87510.2 31 0
32 87510.2 32 0
33 87510.2 33 0
34 87510.2 34 0
35 87510.2 35 0
36 87510.2 36 0
37 87510.2 37 0
38 87510.2 38 0
39 87510.2 39 0
40 87510.2 40 0
41 87510.2 41 0
42 87510.2 42 0
43 87510.2 43 0
44 87510.2 44 0
45 87510.2 45 0
46 87510.2 46 0
47 87510.2 47 0
48 87510.2 48 0
49 87510.2 49 0
50 87510.2 50 0
51 87510.2 51 0
52 87510.2 52 0
53 87510.2 53 0
54 87510.2 54 0
55 87510.2 55 0
56 87510.2 56 0
57 87510.2 57 0
58 87510.2 58 0
59 87510.2 59 0
60 87510.2 60 0
61 87510.2 61 0
62 87510.2 62 0
63 87510.2 63 0
64 87510.2 64 0
65 87510.2 65 0
66 87510.2 66 0
67 87510.2 67 0
68 87510.2 68 0
69 87510.2 69 0
70 87510.2 70 0
71 87510.2 71 0
72 87510.2 72 0
73 87510.2 73 0
74 87510.2 74 0
75 87510.2 75 0
76 87510.2 76 0
77 87510.2 77 0
78 87510.2 78 0
79 87510.2 79 0
80 87510.2 80 0
81 87510.2 81 0
82 87510.2 82 0
83 87510.2 83 0
84 87510.2 84 0
85 87510.2 85 0
86 87510.2 86 0
87 87510.2 87 0
88 87510.2 88 0
89 87510.2 89 0
90 87510.2 90 0
91 87510.2 91 0
92 87510.2 92 0
93 87510.2 93 0
94 87510.2 94 1
95 87510.2 95 0
96 87510.2 96 0
97 87510.2 97 0
98 87510.2 98 0
99 87510.2 99 0
100 87510.2 100 0
101 87510.3 0 0
102 87510.3 1 0
103 87510.3 2 0
104 87510.3 3 0
105 87510.3 4 0
106 87510.3 5 0
107 87510.3 6 0
108 87510.3 7 0
109 87510.3 8 0
110 87510.3 9 0
111 87510.3 10 0
112 87510.3 11 0
113 87510.3 12 0
114 87510.3 13 0
115 87510.3 14 0
116 87510.3 15 0
117 87510.3 16 0
118 87510.3 17 0
119 87510.3 18 0
120 87510.3 19 0
121 87510.3 20 0
122 87510.3 21 0
123 87510.3 22 0
124 87510.3 23 0
125 87510.3 24 0
126 87510.3 25 0
127 87510.3 26 1
128 87510.3 27 0
129 87510.3 28 0
130 87510.3 29 0
131 87510.3 30 0
132 87510.3 31 0
133 87510.3 32 0
134 87510.3 33 0
135 87510.3 34 0
136 87510.3 35 0
137 87510.3 36 0
138 87510.3 37 0
139 87510.3 38 0
140 87510.3 39 0
141 87510.3 40 0
142 87510.3 41 0
143 87510.3 42 0
144 87510.3 43 0
145 87510.3 44 0
146 87510.3 45 0
147 87510.3 46 0
148 87510.3 47 0
149 87510.3 48 0
150 87510.3 49 0
151 87510.3 50 0
152 87510.3 51 0
153 87510.3 52 0
154 87510.3 53 0
155 87510.3 54 0
156 87510.3 55 0
157 87510.3 56 0
158 87510.3 57 0
159 87510.3 58 0
160 87510.3 59 0
161 87510.3 60 0
162 87510.3 61 0
163 87510.3 62 0
164 87510.3 63 0
165 87510.3 64 0
166 87510.3 65 0
167 87510.3 66 0
168 87510.3 67 0
169 87510.3 68 0
170 87510.3 69 0
171 87510.3 70 0
172 87510.3 71 0
173 87510.3 72 0
174 87510.3 73 0
175 87510.3 74 0
176 87510.3 75 0
177 87510.3 76 0
178 87510.3 77 0
179 87510.3 78 0
180 87510.3 79 0
181 87510.3 80 0
182 87510.3 81 0
183 87510.3 82 0
184 87510.3 83 0
185 87510.3 84 0
186 87510.3 85 0
187 87510.3 86 0
188 87510.3 87 0
189 87510.3 88 0
190 87510.3 89 0
191 87510.3 90 0
192 87510.3 91 0
193 87510.3 92 0
194 87510.3 93 0
195 87510.3 94 0
196 87510.3 95 0
197 87510.3 96 0
198 87510.3 97 0
199 87510.3 98 0
200 87510.3 99 0
201 87510.3 100 0
202 87510.5 0 0
203 87510.5 1 0
204 87510.5 2 0
205 87510.5 3 0
206 87510.5 4 0
207 87510.5 5 0
208 87510.5 6 0
209 87510.5 7 0
210 87510.5 8 0
211 87510.5 9 0
212 87510.5 10 0
213 87510.5 11 0
214 87510.5 12 0
215 87510.5 13 0
216 87510.5 14 0
217 87510.5 15 0
218 87510.5 16 0
219 87510.5 17 0
220 87510.5 18 0
221 87510.5 19 0
222 87510.5 20 0
223 87510.5 21 0
224 87510.5 22 0
225 87510.5 23 0
226 87510.5 24 0
227 87510.5 25 0
228 87510.5 26 0
229 87510.5 27 0
230 87510.5 28 0
231 87510.5 29 0
232 87510.5 30 0
233 87510.5 31 0
234 87510.5 32 0
235 87510.5 33 0
236 87510.5 34 0
237 87510.5 35 0
238 87510.5 36 0
239 87510.5 37 0
240 87510.5 38 0
241 87510.5 39 0
