 time index spike
0 61010.1 0 0
1 61010.1 1 0
2 61010.1 2 0
3 61010.1 3 0
4 61010.1 4 0
5 61010.1 5 0
6 61010.1 6 0
7 61010.1 7 0
8 61010.1 8 0
9 61010.1 9 0
10 61010.1 10 0
11 61010.1 11 0
12 61010.1 12 0
13 61010.1 13 0
14 61010.1 14 0
15 61010.1 15 0
16 61010.1 16 0
17 61010.1 17 0
18 61010.1 18 0
19 61010.1 19 0
20 61010.1 20 0
21 61010.1 21 0
22 61010.1 22 0
23 61010.1 23 0
24 61010.1 24 0
25 61010.1 25 0
26 61010.1 26 0
27 61010.1 27 0
28 61010.1 28 0
29 61010.1 29 0
30 61010.1 30 0
31 61010.1 31 0
32 61010.1 32 0
33 61010.1 33 0
34 61010.1 34 0
35 61010.1 35 0
36 61010.1 36 0
37 61010.1 37 0
38 61010.1 38 0
39 61010.1 39 0
40 61010.1 40 0
41 61010.1 41 0
42 61010.1 42 0
43 61010.1 43 0
44 61010.1 44 0
45 61010.1 45 0
46 61010.1 46 0
47 61010.1 47 1
48 61010.1 48 0
49 61010.1 49 0
50 61010.1 50 0
51 61010.1 51 0
52 61010.1 52 0
53 61010.1 53 0
54 61010.1 54 0
55 61010.1 55 0
56 61010.1 56 0
57 61010.1 57 0
58 61010.1 58 0
59 61010.1 59 0
60 61010.1 60 0
61 61010.1 61 0
62 61010.1 62 0
63 61010.1 63 0
64 61010.1 64 0
65 61010.1 65 0
66 61010.1 66 0
67 61010.1 67 0
68 61010.1 68 0
69 61010.1 69 0
70 61010.1 70 0
71 61010.1 71 0
72 61010.1 72 0
73 61010.1 73 0
74 61010.1 74 0
75 61010.1 75 0
76 61010.1 76 0
77 61010.1 77 0
78 61010.1 78 0
79 61010.1 79 0
80 61010.1 80 0
81 61010.1 81 0
82 61010.1 82 0
83 61010.1 83 0
84 61010.1 84 0
85 61010.1 85 0
86 61010.1 86 0
87 61010.1 87 0
88 61010.1 88 0
89 61010.1 89 0
90 61010.1 90 0
91 61010.1 91 0
92 61010.1 92 0
93 61010.1 93 0
94 61010.1 94 0
95 61010.1 95 0
96 61010.1 96 0
97 61010.1 97 0
98 61010.1 98 0
99 61010.1 99 0
100 61010.1 100 0
101 61010.6 0 0
102 61010.6 1 0
103 61010.6 2 0
104 61010.6 3 0
105 61010.6 4 0
106 61010.6 5 0
107 61010.6 6 0
108 61010.6 7 0
109 61010.6 8 0
110 61010.6 9 0
111 61010.6 10 0
112 61010.6 11 0
113 61010.6 12 0
114 61010.6 13 0
115 61010.6 14 0
116 61010.6 15 0
117 61010.6 16 0
118 61010.6 17 0
119 61010.6 18 0
120 61010.6 19 0
121 61010.6 20 0
122 61010.6 21 0
123 61010.6 22 0
124 61010.6 23 0
125 61010.6 24 0
126 61010.6 25 0
127 61010.6 26 0
128 61010.6 27 0
129 61010.6 28 0
130 61010.6 29 0
131 61010.6 30 0
132 61010.6 31 0
133 61010.6 32 0
134 61010.6 33 0
135 61010.6 34 0
136 61010.6 35 0
137 61010.6 36 0
138 61010.6 37 0
139 61010.6 38 0
140 61010.6 39 0
141 61010.6 40 0
142 61010.6 41 0
143 61010.6 42 0
144 61010.6 43 0
145 61010.6 44 0
146 61010.6 45 0
147 61010.6 46 0
148 61010.6 47 0
149 61010.6 48 0
150 61010.6 49 0
151 61010.6 50 0
152 61010.6 51 0
153 61010.6 52 0
154 61010.6 53 0
155 61010.6 54 0
156 61010.6 55 0
157 61010.6 56 0
158 61010.6 57 0
159 61010.6 58 0
160 61010.6 59 0
161 61010.6 60 1
162 61010.6 61 0
163 61010.6 62 0
164 61010.6 63 0
165 61010.6 64 0
166 61010.6 65 0
167 61010.6 66 0
168 61010.6 67 0
169 61010.6 68 0
170 61010.6 69 0
171 61010.6 70 0
172 61010.6 71 0
173 61010.6 72 0
174 61010.6 73 0
175 61010.6 74 0
176 61010.6 75 0
177 61010.6 76 0
178 61010.6 77 0
179 61010.6 78 0
180 61010.6 79 0
181 61010.6 80 0
182 61010.6 81 0
183 61010.6 82 0
184 61010.6 83 0
185 61010.6 84 0
186 61010.6 85 0
187 61010.6 86 0
188 61010.6 87 0
189 61010.6 88 0
190 61010.6 89 0
191 61010.6 90 0
192 61010.6 91 0
193 61010.6 92 0
194 61010.6 93 0
195 61010.6 94 0
196 61010.6 95 0
197 61010.6 96 0
198 61010.6 97 0
199 61010.6 98 0
200 61010.6 99 0
201 61010.6 100 0
202 61010.9 0 0
203 61010.9 1 0
204 61010.9 2 0
205 61010.9 3 0
206 61010.9 4 0
207 61010.9 5 0
208 61010.9 6 0
209 61010.9 7 0
210 61010.9 8 0
211 61010.9 9 0
212 61010.9 10 0
213 61010.9 11 0
214 61010.9 12 0
215 61010.9 13 0
216 61010.9 14 0
217 61010.9 15 0
218 61010.9 16 0
219 61010.9 17 0
220 61010.9 18 0
221 61010.9 19 0
222 61010.9 20 0
223 61010.9 21 0
224 61010.9 22 0
225 61010.9 23 0
226 61010.9 24 0
227 61010.9 25 0
228 61010.9 26 0
229 61010.9 27 0
230 61010.9 28 0
231 61010.9 29 0
232 61010.9 30 0
233 61010.9 31 0
234 61010.9 32 0
235 61010.9 33 0
236 61010.9 34 0
237 61010.9 35 0
238 61010.9 36 0
239 61010.9 37 0
240 61010.9 38 0
241 61010.9 39 0
242 61010.9 40 0
243 61010.9 41 0
244 61010.9 42 0
245 61010.9 43 0
246 61010.9 44 0
247 61010.9 45 0
248 61010.9 46 0
249 61010.9 47 0
250 61010.9 48 0
251 61010.9 49 0
252 61010.9 50 0
253 61010.9 51 0
254 61010.9 52 0
255 61010.9 53 0
256 61010.9 54 0
257 61010.9 55 0
258 61010.9 56 0
259 61010.9 57 0
260 61010.9 58 0
261 61010.9 59 0
262 61010.9 60 0
263 61010.9 61 0
264 61010.9 62 0
265 61010.9 63 0
266 61010.9 64 0
267 61010.9 65 0
268 61010.9 66 0
269 61010.9 67 0
270 61010.9 68 0
271 61010.9 69 0
272 61010.9 70 0
273 61010.9 71 0
274 61010.9 72 0
275 61010.9 73 0
276 61010.9 74 0
277 61010.9 75 0
278 61010.9 76 0
279 61010.9 77 0
280 61010.9 78 1
281 61010.9 79 0
282 61010.9 80 0
283 61010.9 81 0
284 61010.9 82 0
285 61010.9 83 0
286 61010.9 84 0
287 61010.9 85 0
288 61010.9 86 0
289 61010.9 87 0
290 61010.9 88 0
291 61010.9 89 0
292 61010.9 90 0
293 61010.9 91 0
294 61010.9 92 0
295 61010.9 93 0
296 61010.9 94 0
297 61010.9 95 0
298 61010.9 96 0
299 61010.9 97 0
300 61010.9 98 0
301 61010.9 99 0
302 61010.9 100 0
303 61011.0 0 0
304 61011.0 1 0
305 61011.0 2 0
306 61011.0 3 0
307 61011.0 4 0
308 61011.0 5 0
309 61011.0 6 0
310 61011.0 7 0
311 61011.0 8 0
312 61011.0 9 0
313 61011.0 10 0
314 61011.0 11 0
315 61011.0 12 0
316 61011.0 13 0
317 61011.0 14 0
318 61011.0 15 0
319 61011.0 16 0
320 61011.0 17 0
321 61011.0 18 0
322 61011.0 19 0
323 61011.0 20 0
324 61011.0 21 0
325 61011.0 22 0
326 61011.0 23 0
327 61011.0 24 0
328 61011.0 25 0
329 61011.0 26 0
330 61011.0 27 0
331 61011.0 28 0
332 61011.0 29 0
333 61011.0 30 0
334 61011.0 31 0
335 61011.0 32 0
336 61011.0 33 0
337 61011.0 34 0
338 61011.0 35 0
339 61011.0 36 0
340 61011.0 37 0
341 61011.0 38 0
342 61011.0 39 0
343 61011.0 40 0
344 61011.0 41 0
345 61011.0 42 0
346 61011.0 43 0
347 61011.0 44 0
348 61011.0 45 0
349 61011.0 46 0
350 61011.0 47 0
351 61011.0 48 0
352 61011.0 49 0
353 61011.0 50 0
354 61011.0 51 0
355 61011.0 52 0
356 61011.0 53 0
357 61011.0 54 0
358 61011.0 55 0
359 61011.0 56 0
360 61011.0 57 0
361 61011.0 58 0
362 61011.0 59 0
363 61011.0 60 0
364 61011.0 61 0
365 61011.0 62 0
366 61011.0 63 0
367 61011.0 64 0
368 61011.0 65 0
369 61011.0 66 0
370 61011.0 67 0
371 61011.0 68 0
372 61011.0 69 0
373 61011.0 70 0
374 61011.0 71 0
375 61011.0 72 0
376 61011.0 73 0
377 61011.0 74 0
378 61011.0 75 0
379 61011.0 76 1
380 61011.0 77 0
381 61011.0 78 0
382 61011.0 79 0
383 61011.0 80 0
384 61011.0 81 0
385 61011.0 82 0
386 61011.0 83 0
387 61011.0 84 0
388 61011.0 85 0
389 61011.0 86 0
390 61011.0 87 0
391 61011.0 88 0
392 61011.0 89 0
393 61011.0 90 0
394 61011.0 91 0
395 61011.0 92 0
396 61011.0 93 0
397 61011.0 94 0
398 61011.0 95 0
399 61011.0 96 0
400 61011.0 97 0
401 61011.0 98 0
402 61011.0 99 0
403 61011.0 100 0
404 61011.2 0 0
405 61011.2 1 0
406 61011.2 2 0
407 61011.2 3 0
