 time index spike
0 55510.2 0 0
1 55510.2 1 0
2 55510.2 2 0
3 55510.2 3 0
4 55510.2 4 0
5 55510.2 5 0
6 55510.2 6 0
7 55510.2 7 0
8 55510.2 8 0
9 55510.2 9 0
10 55510.2 10 0
11 55510.2 11 0
12 55510.2 12 0
13 55510.2 13 0
14 55510.2 14 0
15 55510.2 15 0
16 55510.2 16 0
17 55510.2 17 0
18 55510.2 18 0
19 55510.2 19 0
20 55510.2 20 0
21 55510.2 21 0
22 55510.2 22 0
23 55510.2 23 0
24 55510.2 24 0
25 55510.2 25 0
26 55510.2 26 0
27 55510.2 27 0
28 55510.2 28 0
29 55510.2 29 0
30 55510.2 30 0
31 55510.2 31 0
32 55510.2 32 0
33 55510.2 33 0
34 55510.2 34 0
35 55510.2 35 0
36 55510.2 36 0
37 55510.2 37 0
38 55510.2 38 0
39 55510.2 39 0
40 55510.2 40 0
41 55510.2 41 0
42 55510.2 42 0
43 55510.2 43 0
44 55510.2 44 0
45 55510.2 45 0
46 55510.2 46 0
47 55510.2 47 0
48 55510.2 48 0
49 55510.2 49 0
50 55510.2 50 0
51 55510.2 51 1
52 55510.2 52 0
53 55510.2 53 0
54 55510.2 54 0
55 55510.2 55 0
56 55510.2 56 0
57 55510.2 57 0
58 55510.2 58 0
59 55510.2 59 0
60 55510.2 60 0
61 55510.2 61 0
62 55510.2 62 0
63 55510.2 63 0
64 55510.2 64 0
65 55510.2 65 0
66 55510.2 66 0
67 55510.2 67 0
68 55510.2 68 0
69 55510.2 69 0
70 55510.2 70 0
71 55510.2 71 0
72 55510.2 72 0
73 55510.2 73 0
74 55510.2 74 0
75 55510.2 75 0
76 55510.2 76 0
77 55510.2 77 0
78 55510.2 78 0
79 55510.2 79 0
80 55510.2 80 0
81 55510.2 81 0
82 55510.2 82 0
83 55510.2 83 0
84 55510.2 84 0
85 55510.2 85 0
86 55510.2 86 0
87 55510.2 87 0
88 55510.2 88 0
89 55510.2 89 0
90 55510.2 90 0
91 55510.2 91 0
92 55510.2 92 0
93 55510.2 93 0
94 55510.2 94 0
95 55510.2 95 0
96 55510.2 96 0
97 55510.2 97 0
98 55510.2 98 0
99 55510.2 99 0
100 55510.2 100 0
101 55510.6 0 0
102 55510.6 1 0
103 55510.6 2 0
104 55510.6 3 0
105 55510.6 4 0
106 55510.6 5 1
107 55510.6 6 0
108 55510.6 7 0
109 55510.6 8 0
110 55510.6 9 0
111 55510.6 10 0
112 55510.6 11 0
113 55510.6 12 0
114 55510.6 13 0
115 55510.6 14 0
116 55510.6 15 0
117 55510.6 16 0
118 55510.6 17 0
119 55510.6 18 0
120 55510.6 19 0
121 55510.6 20 0
122 55510.6 21 0
123 55510.6 22 0
124 55510.6 23 0
125 55510.6 24 0
126 55510.6 25 0
127 55510.6 26 0
128 55510.6 27 0
129 55510.6 28 0
130 55510.6 29 0
131 55510.6 30 0
132 55510.6 31 0
133 55510.6 32 0
134 55510.6 33 0
135 55510.6 34 0
136 55510.6 35 0
137 55510.6 36 0
138 55510.6 37 0
139 55510.6 38 0
140 55510.6 39 0
141 55510.6 40 0
142 55510.6 41 0
143 55510.6 42 0
144 55510.6 43 0
145 55510.6 44 0
146 55510.6 45 0
147 55510.6 46 0
148 55510.6 47 0
149 55510.6 48 0
150 55510.6 49 0
151 55510.6 50 0
152 55510.6 51 0
153 55510.6 52 0
154 55510.6 53 0
155 55510.6 54 0
156 55510.6 55 0
157 55510.6 56 0
158 55510.6 57 0
159 55510.6 58 0
160 55510.6 59 0
161 55510.6 60 0
162 55510.6 61 0
163 55510.6 62 0
164 55510.6 63 0
165 55510.6 64 0
166 55510.6 65 0
167 55510.6 66 0
168 55510.6 67 0
169 55510.6 68 0
170 55510.6 69 0
171 55510.6 70 0
172 55510.6 71 0
173 55510.6 72 0
174 55510.6 73 0
175 55510.6 74 0
176 55510.6 75 0
177 55510.6 76 0
178 55510.6 77 0
179 55510.6 78 0
180 55510.6 79 0
181 55510.6 80 0
182 55510.6 81 0
183 55510.6 82 0
184 55510.6 83 0
185 55510.6 84 0
186 55510.6 85 0
187 55510.6 86 0
188 55510.6 87 0
189 55510.6 88 0
190 55510.6 89 0
191 55510.6 90 0
192 55510.6 91 0
193 55510.6 92 0
194 55510.6 93 0
195 55510.6 94 0
196 55510.6 95 0
197 55510.6 96 0
198 55510.6 97 0
199 55510.6 98 0
200 55510.6 99 0
201 55510.6 100 0
202 55510.7 0 0
203 55510.7 1 0
204 55510.7 2 0
205 55510.7 3 0
206 55510.7 4 0
207 55510.7 5 0
208 55510.7 6 0
209 55510.7 7 0
210 55510.7 8 0
211 55510.7 9 0
212 55510.7 10 0
213 55510.7 11 0
214 55510.7 12 0
215 55510.7 13 0
216 55510.7 14 0
217 55510.7 15 0
218 55510.7 16 0
219 55510.7 17 0
220 55510.7 18 0
221 55510.7 19 0
222 55510.7 20 0
223 55510.7 21 0
224 55510.7 22 0
225 55510.7 23 0
226 55510.7 24 0
227 55510.7 25 0
228 55510.7 26 0
229 55510.7 27 0
230 55510.7 28 0
231 55510.7 29 0
232 55510.7 30 0
233 55510.7 31 0
234 55510.7 32 0
235 55510.7 33 0
236 55510.7 34 0
237 55510.7 35 0
238 55510.7 36 0
239 55510.7 37 0
240 55510.7 38 0
241 55510.7 39 0
242 55510.7 40 0
243 55510.7 41 0
244 55510.7 42 0
245 55510.7 43 0
246 55510.7 44 0
247 55510.7 45 0
248 55510.7 46 0
249 55510.7 47 0
250 55510.7 48 0
251 55510.7 49 0
252 55510.7 50 0
253 55510.7 51 0
254 55510.7 52 0
255 55510.7 53 0
256 55510.7 54 0
257 55510.7 55 0
258 55510.7 56 0
259 55510.7 57 0
260 55510.7 58 0
261 55510.7 59 0
262 55510.7 60 0
263 55510.7 61 0
264 55510.7 62 0
265 55510.7 63 0
266 55510.7 64 0
267 55510.7 65 0
268 55510.7 66 0
