inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29
10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,-64.84155169930406,-65.13822828807228,-64.84737337982642,-64.94246323912361,-64.74613076372262,-64.64788137719013,-65.04097929020072,-64.94517552358771,-64.8439016736153,-64.74535201091572,-64.74877440241572,-65.04488835680455,-64.84624449489296,-65.33664972101751,-64.94127941485705,-64.84275010700428,-65.03977168946848,-64.84548294250992,-65.04018231509242,-64.94324547230417,-65.03813575008631,-64.74877928851471,-65.0389537063659,-64.94285749759034,-64.84624058778624,-64.64901429557045,-65.13780675024321,-65.03977465109244,-65.04450117581625,-64.94670606126815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,-64.78281010949704,-65.07832646915949,-64.78862209166876,-64.88334663570468,-64.78747269681588,-64.68957504720724,-64.98147639031602,-64.88605401681725,-64.78515616618432,-64.68696200000115,-64.79011216987372,-64.98537761046254,-64.78749499818353,-65.27589533844532,-64.8821649992765,-64.88372801215992,-65.07996928642334,-64.78673467966246,-65.0803790399551,-64.8841273999907,-65.0783369253757,-64.69038420072279,-64.97945494577,-64.88374010307618,-64.88721225653012,-64.6907063634038,-65.07790588818254,-65.07997226946105,-65.08468872008174,-64.88758167573845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,-64.82404979077211,-65.11840069011453,-64.73012383946634,-64.8244925753559,-64.82870444180968,-64.73116452966059,-65.02195104335115,-64.82719529414383,-64.72666339082772,-64.72855526808056,-64.83133955854524,-64.92613974133967,-64.728998439102,-65.21544454354822,-64.82331302130079,-64.82487331636678,-65.02034653850586,-64.8279675635446,-65.12044866912761,-64.82527194056935,-65.01871766990713,-64.6322324974638,-64.92022852429915,-64.82488528711139,-64.9280677753058,-64.73229416036291,-65.11798107711655,-65.02034954294567,-65.02505616607222,-64.92843644697699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.76545307833044,-65.05865682957581,-64.67187264100426,-64.7658949404066,-64.77010001722714,-64.77264701446795,-64.9626014148036,-64.76859323510479,-64.76815281426313,-64.6703065104445,-64.77273090378323,-64.96688011279534,-64.77048400291575,-65.2549677052618,-64.86444127062329,-64.86599879904509,-65.06070048177725,-64.86908759279848,-65.16038876976219,-64.86639664754331,-65.0590751507788,-64.57431832883671,-64.96098051827968,-64.76628693160363,-64.96880451886351,-64.77377487711482,-65.15792690098601,-65.06070350736756,-65.06540017099198,-64.96917241759068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-64.70710672571646,-65.09888883897888,-64.71360458661479,-64.7075477049585,-64.81147661433535,-64.81401972452592,-65.0032291953913,-64.8099722469377,-64.70980230103909,-64.71204094887489,-64.81410318541431,-65.00749925279818,-64.71212974082104,-65.19468162292861,-64.80573531501243,-64.8072901526628,-65.00123238215379,-64.91009208121264,-65.20019694582531,-64.80768724523108,-65.09930626822906,-64.51663592801071,-65.0016116883306,-64.70793901024882,-64.9097133614846,-64.7154159209861,-65.19774096172132,-65.0012354288863,-65.00592237696341,-65.00978699775472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,-64.7487425717539,-65.03930103961692,-64.7552301762105,-64.6494449320434,-64.85274087776774,-64.75555490775994,-65.04373348131631,-64.85123903365582,-64.75143389710495,-64.75366914502922,-64.85536294440222,-65.04799460539091,-64.65402033696012,-65.23436928543533,-64.84700947910908,-64.74883576389507,-65.04174082067857,-64.95097837719536,-65.23987083848726,-64.74923213584621,-65.13940856000904,-64.4591796086031,-64.94241685539423,-64.7495732615287,-64.85088667108501,-64.75703888685753,-65.2374208984278,-64.94204122479947,-64.94671888427773,-65.05027763327386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,-64.79026973072695,-65.07968894764687,-64.69701458235723,-64.69132542937815,-64.8938900963197,-64.79707093107321,-64.98441416039323,-64.7926703201715,-64.69322413172125,-64.79518829531455,-64.79678740151415,-65.0883636506806,-64.59614993633005,-65.27392069525709,-64.88816900702619,-64.7903624366544,-65.08212337679217,-64.89203520693627,-65.27940812649314,-64.79075807551449,-65.07969342670202,-64.40194376212314,-64.88348966026231,-64.79109876694258,-64.79231831768331,-64.79855256145417,-65.17728990541418,-64.88311462534142,-64.88778341790425,-65.09064180604834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,-64.73195758996253,-65.02025535180435,-64.63904191137752,-64.63336091770861,-64.93492159341076,-64.83847500275395,-65.02507117371488,-64.83408148798188,-64.6352569625691,-64.73686837843898,-64.83819160734585,-65.12860390528661,-64.63826378791629,-65.31333356428742,-64.82949506597613,-64.73204981592747,-65.02268455649349,-64.83335426244017,-65.21913705506971,-64.8321725217189,-65.02025983627304,-64.34492285547985,-64.8248239297601,-64.83251275359453,-64.83372985818437,-64.74022732798595,-65.21713237943142,-64.92416621382357,-64.8291097999801,-65.03118504650921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,-64.6738916203545,-65.06079730774388,-64.58130634505976,-64.67537959961442,-64.97583272761004,-64.78004230805833,-64.96590294340147,-64.8753782865486,-64.67727292162101,-64.67879505778755,-64.77975903520358,-65.1687129227695,-64.58052936783919,-65.25294021909859,-64.77107692161444,-64.67398337618006,-64.96352112460521,-64.77492945565834,-65.25883864965435,-64.77374990192067,-64.96110141230528,-64.28811142855069,-64.86613729651992,-64.77408968985003,-64.77530440864271,-64.78188279166228,-65.15716210143697,-64.96509819387377,-64.77069194683233,-64.97200445127814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,-64.71580769316627,-65.00151609614127,-64.62355493510314,-64.71729347419046,-65.01662089314277,-64.82158925006574,-65.00671090651217,-64.91655801270068,-64.61944260748119,-64.72070361374313,-64.72157702358322,-65.10900562551733,-64.62277913085236,-65.19284633724612,-64.81263870647116,-64.61615725850258,-65.0043339557563,-64.81648445469548,-65.1987300274961,-64.81530712488835,-64.90221187894032,-64.33129191166452,-64.80761547007093,-64.7159166921184,-64.71712913300748,-64.8234267552979,-65.19716509600987,-64.90620098673273,-64.81225403735074,-65.01279987165582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
