0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,-63.85949959134576,-63.85949959134576,-64.8030418600914,-65.77130823360841,-64.83887214606148,-64.83887214606148,-65.77130823360841,-65.77130823360841,-65.77130823360841,-64.8030418600914,-64.83887214606148,-65.77130823360841,-64.83887214606148,-63.85949959134576,-65.77130823360841,-65.77130823360841,-64.8030418600914,-65.77130823360841,-64.83887214606148,-64.83887214606148,-64.83887214606148,-63.85949959134576,-64.83887214606148,-64.83887214606148,-64.8030418600914,-64.8030418600914,-65.77130823360841,-65.77130823360841,-64.8030418600914,-65.77130823360841,-63.85949959134576,-63.85949959134576,-64.8030418600914,-64.8030418600914,-64.83887214606148,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-64.83887214606148,-63.85949959134576,-65.77130823360841,-64.83887214606148,-65.77130823360841,-64.83887214606148,-64.83887214606148,-65.77130823360841,-63.85949959134576,-63.85949959134576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,-63.31364829640997,-64.2994958769896,-64.23641980539755,-65.16997528978263,-65.2465046681447,-65.2465046681447,-66.13395659530985,-66.13395659530985,-66.13395659530985,-65.21136440094942,-65.2465046681447,-66.13395659530985,-64.27197531357425,-63.31364829640997,-65.16997528978263,-65.16997528978263,-64.23641980539755,-65.16997528978263,-65.2465046681447,-65.2465046681447,-65.2465046681447,-64.2994958769896,-65.2465046681447,-64.27197531357425,-65.21136440094942,-65.21136440094942,-66.13395659530985,-66.13395659530985,-64.23641980539755,-65.16997528978263,-63.31364829640997,-63.31364829640997,-65.21136440094942,-64.23641980539755,-64.27197531357425,-65.16997528978263,-66.13395659530985,-66.13395659530985,-66.13395659530985,-65.16997528978263,-64.27197531357425,-63.31364829640997,-66.13395659530985,-64.27197531357425,-65.16997528978263,-65.2465046681447,-64.27197531357425,-66.13395659530985,-64.2994958769896,-63.31364829640997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,-62.77777205290623,-64.73143430562698,-63.68745948482352,-64.59508129688402,-65.64027917703608,-65.64027917703608,-65.51917799670727,-66.47908949716897,-65.51917799670727,-64.63579688675357,-65.64027917703608,-65.51917799670727,-63.72301818373601,-63.7699997723833,-64.59508129688402,-64.59508129688402,-64.6688990695865,-64.59508129688402,-65.64027917703608,-65.64027917703608,-65.64027917703608,-63.75073557842412,-64.67041773422628,-63.72301818373601,-65.60606176327727,-65.60606176327727,-66.47908949716897,-65.51917799670727,-63.68745948482352,-64.59508129688402,-62.77777205290623,-63.7699997723833,-64.63579688675357,-64.6688990695865,-63.72301818373601,-64.59508129688402,-66.47908949716897,-65.51917799670727,-66.47908949716897,-64.59508129688402,-64.70404087164692,-63.7699997723833,-65.51917799670727,-64.70404087164692,-64.59508129688402,-65.64027917703608,-63.72301818373601,-66.47908949716897,-63.75073557842412,-63.7699997723833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,-63.246114626817075,-65.15221476034495,-64.13918638903809,-64.04090575404982,-65.05263995632417,-66.01803327275064,-64.93430591509455,-66.80556537001468,-64.93430591509455,-64.08128412724597,-66.01803327275064,-64.93430591509455,-64.17459145761862,-64.22193837485044,-65.01818603943799,-65.01818603943799,-65.09069780958461,-65.01818603943799,-66.01803327275064,-65.05263995632417,-65.05263995632417,-64.2023750250599,-65.09207419621933,-64.17459145761862,-65.98494011308999,-65.01915747167982,-65.84949621250614,-64.93430591509455,-64.13918638903809,-65.01818603943799,-62.247551399851424,-64.22193837485044,-64.08128412724597,-64.11427579232492,-63.187207331236536,-64.04090575404982,-65.84949621250614,-65.90107666771955,-66.80556537001468,-65.01818603943799,-64.14914931973121,-64.22193837485044,-64.93430591509455,-64.14914931973121,-64.04090575404982,-65.05263995632417,-63.187207331236536,-66.80556537001468,-63.215320800246566,-64.22193837485044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-63.71399211953698,-65.55908437755876,-64.58363306971312,-64.48608631787322,-64.48979003943461,-66.37801707917681,-65.34656772141985,-66.16016141821808,-65.34656772141985,-64.52596455697112,-66.37801707917681,-64.37319012985482,-63.63651143800306,-64.66590037757297,-64.455905253737,-64.455905253737,-64.52744141540335,-65.42831637849054,-66.37801707917681,-65.46180512286242,-65.46180512286242,-63.66445479096878,-64.52868796266861,-63.63651143800306,-65.38469787095336,-65.42915314761716,-66.21635652953866,-65.34656772141985,-64.58363306971312,-65.42831637849054,-61.718801918585704,-64.66590037757297,-63.54277945790836,-63.57590813324598,-63.653811009526144,-64.48608631787322,-65.25331135809168,-66.26578860093302,-66.16016141821808,-64.455905253737,-64.59316798845033,-63.68437315545024,-65.34656772141985,-64.59316798845033,-64.48608631787322,-64.48979003943461,-63.653811009526144,-67.11262337626286,-63.6821816383073,-64.66590037757297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,-63.1900756669563,-64.98344672634319,-64.04013507611668,-64.92142752988671,-64.92474481515482,-65.76177176528773,-65.74389584949552,-65.5516844789658,-64.77522666857385,-64.96050169624824,-65.76177176528773,-63.83051111601894,-64.09890430598435,-64.12222199632235,-63.91272110733582,-63.91272110733582,-64.96184507447961,-64.85526625212653,-65.76177176528773,-65.85532379523009,-64.88796908174011,-63.13887230053294,-63.98498277808824,-64.09890430598435,-64.81245469518917,-65.82370648021949,-65.60583994225004,-65.74389584949552,-64.04013507611668,-64.85526625212653,-61.187334050859654,-65.09860037676916,-64.0051897481249,-63.04924480949308,-63.12845622701197,-63.94295324925985,-64.68390002497789,-65.65347520680993,-66.51125108769503,-63.91272110733582,-65.02652253078622,-63.15927887789013,-65.74389584949552,-65.02652253078622,-64.92142752988671,-64.92474481515482,-64.11658155803914,-66.45076465105925,-64.14496039027156,-64.12222199632235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,-62.67461787222427,-64.43143389222818,-64.49550071059939,-64.37042153682525,-65.34680203962117,-66.1413475702926,-65.15998755288133,-64.9729691126346,-64.22576131487926,-64.40886750882561,-65.17737688628537,-63.301548279744615,-64.55387993957582,-63.594411546486285,-64.368968472207,-63.38387073284662,-64.41008879747207,-64.30476615570792,-66.1413475702926,-66.23118155697313,-65.3108076507545,-63.61558600904951,-64.44040308859643,-63.5709782373661,-64.26240619049102,-66.2007706372474,-65.99136046629634,-66.12416056924131,-64.49550071059939,-64.30476615570792,-61.66661320689831,-64.54570157724235,-63.47696752215904,-63.525323059230054,-62.61114685071076,-63.41437165792987,-65.11179934645502,-66.03713416990797,-65.88731382375181,-64.368968472207,-65.446239393049,-62.6424491269252,-65.15998755288133,-65.446239393049,-64.37042153682525,-64.37338316054912,-63.58907773402261,-66.78568006484093,-63.61755833549542,-64.57703857285563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,-63.16330630094446,-64.87691537463692,-64.94043828715576,-64.81713604675419,-65.75330667426513,-66.50208735423031,-64.60145573414268,-64.41796745781477,-64.6745977304661,-64.85481087597805,-64.61851403645615,-62.781995043203565,-64.02034314731604,-63.078096977271564,-63.83603686788596,-62.865027409323794,-64.8559108562754,-63.7717364364794,-65.54237248122216,-65.62909696318773,-65.71833484882396,-63.09991062381626,-64.88585569817042,-64.04342412636832,-63.729502634764984,-65.59968922739895,-65.39734771848202,-66.48566807948083,-64.94043828715576,-64.75226002132912,-61.14652472912887,-64.01211262064777,-62.95940869302261,-63.99831495275806,-63.0983222694932,-62.89601088871066,-64.55439838860923,-66.40244640499803,-66.25926642875966,-63.83603686788596,-64.88228806503646,-62.129897839809075,-64.60145573414268,-64.88228806503646,-63.83738130338596,-64.81974681114274,-63.07302156296384,-67.1006038222324,-63.101804568344996,-65.02076906133387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,-63.651617712404885,-64.33539675443893,-65.37178200151814,-64.27659133661929,-65.17803785477803,-65.8870514204177,-65.0399962823578,-63.881454212029524,-65.11184246274557,-64.31365791005312,-64.07976894369746,-62.2678045631243,-63.50154212069067,-62.569235874804335,-64.30244090974402,-62.35214420023498,-65.28879340315956,-63.251651964606694,-64.97249583076119,-65.0569507729071,-66.10829803087354,-63.58639348196071,-65.31814001854876,-63.5250009329961,-63.209236511888946,-65.99401003147447,-64.83105399483493,-65.87127667546346,-64.3986139133375,-65.18758636111377,-61.63732869450763,-63.493203206908206,-63.444728542030184,-64.46428667309016,-63.58572809348503,-63.38084798623613,-64.99422056643971,-65.79124592277809,-65.6536603473558,-64.30244090974402,-65.31445112438611,-62.62392369774257,-65.0399962823578,-64.34060781768065,-63.31775681552014,-65.25344221842985,-63.55926321691806,-66.44590625839966,-62.59366120302519,-65.45030602712991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
