0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,-64.8030418600914,-63.85949959134576,-64.8030418600914,-64.8030418600914,-64.8030418600914,-63.85949959134576,-63.85949959134576,-64.83887214606148,-63.85949959134576,-65.77130823360841,-65.77130823360841,-64.8030418600914,-64.83887214606148,-64.83887214606148,-63.85949959134576,-64.83887214606148,-64.83887214606148,-65.77130823360841,-65.77130823360841,-64.83887214606148,-63.85949959134576,-64.83887214606148,-64.83887214606148,-64.8030418600914,-64.83887214606148,-64.83887214606148,-64.8030418600914,-64.83887214606148,-64.8030418600914,-65.77130823360841,-64.8030418600914,-65.77130823360841,-64.8030418600914,-64.83887214606148,-63.85949959134576,-63.85949959134576,-65.77130823360841,-64.83887214606148,-63.85949959134576,-63.85949959134576,-65.77130823360841,-65.77130823360841,-64.83887214606148,-64.8030418600914,-64.83887214606148,-63.85949959134576,-63.85949959134576,-65.77130823360841,-64.83887214606148,-65.77130823360841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,-65.21136440094942,-63.31364829640997,-64.23641980539755,-65.21136440094942,-64.23641980539755,-63.31364829640997,-63.31364829640997,-65.2465046681447,-64.2994958769896,-65.16997528978263,-66.13395659530985,-65.21136440094942,-64.27197531357425,-64.27197531357425,-64.2994958769896,-65.2465046681447,-65.2465046681447,-65.16997528978263,-65.16997528978263,-65.2465046681447,-63.31364829640997,-65.2465046681447,-64.27197531357425,-65.21136440094942,-64.27197531357425,-64.27197531357425,-65.21136440094942,-64.27197531357425,-65.21136440094942,-66.13395659530985,-65.21136440094942,-66.13395659530985,-65.21136440094942,-65.2465046681447,-64.2994958769896,-63.31364829640997,-66.13395659530985,-65.2465046681447,-64.2994958769896,-64.2994958769896,-65.16997528978263,-66.13395659530985,-65.2465046681447,-65.21136440094942,-65.2465046681447,-64.2994958769896,-64.2994958769896,-65.16997528978263,-65.2465046681447,-66.13395659530985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,-64.63579688675357,-63.7699997723833,-63.68745948482352,-64.63579688675357,-63.68745948482352,-63.7699997723833,-63.7699997723833,-64.67041773422628,-64.73143430562698,-64.59508129688402,-65.51917799670727,-64.63579688675357,-63.72301818373601,-64.70404087164692,-64.73143430562698,-64.67041773422628,-64.67041773422628,-64.59508129688402,-65.56582112989538,-64.67041773422628,-62.77777205290623,-65.64027917703608,-63.72301818373601,-64.63579688675357,-63.72301818373601,-64.70404087164692,-64.63579688675357,-63.72301818373601,-64.63579688675357,-66.47908949716897,-65.60606176327727,-66.47908949716897,-64.63579688675357,-65.64027917703608,-64.73143430562698,-63.7699997723833,-66.47908949716897,-65.64027917703608,-63.75073557842412,-63.75073557842412,-65.56582112989538,-65.51917799670727,-65.64027917703608,-64.63579688675357,-64.67041773422628,-64.73143430562698,-64.73143430562698,-64.59508129688402,-64.67041773422628,-65.51917799670727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,-64.08128412724597,-64.22193837485044,-64.13918638903809,-64.08128412724597,-64.13918638903809,-64.22193837485044,-63.235115219208815,-65.09207419621933,-64.17651985332037,-64.04090575404982,-64.93430591509455,-64.08128412724597,-63.187207331236536,-65.1251634184126,-64.17651985332037,-65.09207419621933,-65.09207419621933,-65.01818603943799,-64.97984126922712,-64.11566899302264,-63.246114626817075,-66.01803327275064,-63.187207331236536,-65.05809157066813,-63.187207331236536,-65.1251634184126,-64.08128412724597,-63.187207331236536,-64.08128412724597,-66.80556537001468,-65.01915747167982,-66.80556537001468,-65.05809157066813,-66.01803327275064,-64.17651985332037,-63.235115219208815,-65.84949621250614,-66.01803327275064,-63.215320800246566,-63.215320800246566,-65.94608154814391,-64.93430591509455,-65.05263995632417,-64.08128412724597,-65.09207419621933,-65.15221476034495,-64.17651985332037,-64.04090575404982,-65.09207419621933,-65.90107666771955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,-64.52596455697112,-63.68437315545024,-63.60113126139616,-64.52596455697112,-64.58363306971312,-64.66590037757297,-62.70931331452212,-65.500249138983,-64.620395050063,-64.48608631787322,-65.34656772141985,-63.54277945790836,-63.653811009526144,-65.53257122123966,-63.63833048478457,-64.52868796266861,-65.500249138983,-65.42831637849054,-64.41801706396183,-64.5599722330647,-62.72104175164159,-66.37801707917681,-62.66014669052781,-64.49518714844058,-62.66014669052781,-65.53257122123966,-64.52596455697112,-62.66014669052781,-63.54277945790836,-66.16016141821808,-65.42915314761716,-66.16016141821808,-65.46713932753319,-65.41687267498111,-64.620395050063,-62.70931331452212,-65.25331135809168,-65.41687267498111,-63.6821816383073,-63.6821816383073,-65.34697651790556,-65.34656772141985,-64.48979003943461,-64.52596455697112,-65.500249138983,-64.58821649717174,-63.63833048478457,-63.502426885271056,-64.52868796266861,-65.30332526053795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,-64.96050169624824,-63.15927887789013,-64.06370896390838,-64.96050169624824,-65.01747227876668,-64.12222199632235,-62.18845294395419,-64.92562250625866,-65.05338876969476,-63.94295324925985,-65.74389584949552,-64.0051897481249,-64.11658155803914,-65.9238893823367,-63.112297028058755,-63.98498277808824,-64.92562250625866,-64.85526625212653,-64.85426035408389,-64.01625562209136,-63.20015116989844,-66.71890082187723,-62.13767979127721,-64.93006648110428,-62.13767979127721,-65.9238893823367,-64.96050169624824,-62.13767979127721,-64.0051897481249,-65.5516844789658,-64.85597918692247,-66.51125108769503,-65.86050611378525,-64.84400802910137,-64.07647771251436,-62.18845294395419,-64.68390002497789,-65.8118750588999,-63.15717256855993,-63.15717256855993,-65.74418473650101,-64.77522666857385,-64.92474481515482,-64.96050169624824,-65.8925388188738,-64.04436340742228,-64.10061012715555,-62.97511509145439,-64.962963262519,-65.70197783820099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,-65.38187264580206,-63.636370685411826,-64.51915850204406,-64.40886750882561,-65.43771962279752,-63.594411546486285,-62.67405262996139,-65.34755326457741,-64.5006120314914,-63.41437165792987,-66.12416056924131,-64.46097273649977,-64.57176877986548,-66.29717380754651,-62.59420744119755,-64.44040308859643,-65.34755326457741,-64.30476615570792,-64.3038785987168,-63.487644197712925,-62.68543340452445,-66.08640877228231,-61.61574918176687,-65.35200902127063,-61.61574918176687,-65.33503574455801,-65.38187264580206,-61.61574918176687,-63.47696752215904,-64.9729691126346,-65.27958037736974,-65.88731382375181,-65.27332805196457,-65.26795264047068,-64.5312769114337,-61.66850346901014,-64.13559769732092,-65.22604407875299,-62.640410415048166,-63.634356508078305,-65.16016508630378,-64.22576131487926,-65.34680203962117,-64.40886750882561,-66.2669672476077,-64.4993710723134,-63.57258071634585,-62.45476389360275,-64.41108898138177,-66.08380187075103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,-64.81925319165781,-64.10938768891107,-63.98596048981975,-63.875503770686834,-64.87423806522634,-63.078096977271564,-63.163570936789846,-64.78534070839011,-63.96681665745004,-63.88691736791175,-66.48566807948083,-63.927901687201796,-65.01589523457042,-65.69295641632358,-63.08069910910177,-64.88585569817042,-64.78534070839011,-63.7717364364794,-64.75148887550678,-63.95982070241587,-63.1747928287114,-65.48935293639164,-61.09026275256986,-65.75836423122017,-61.09026275256986,-65.74186822291631,-64.81925319165781,-61.09026275256986,-62.95940869302261,-64.41796745781477,-65.68807470625826,-66.25926642875966,-65.68198978902778,-65.67686300315486,-64.97537581653658,-61.14541230343871,-64.58595016869275,-65.63616795708889,-62.12791041806957,-64.10747953022954,-64.60152952377696,-64.6745977304661,-65.75330667426513,-63.875503770686834,-65.66369413816612,-63.96568509179088,-64.04491980639506,-62.93967771348124,-63.87751196963696,-65.48669802121388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,-65.25295436109218,-64.57442827638128,-63.46724157106417,-64.34130940512371,-64.33294527053026,-63.56406438818867,-63.652685226678486,-65.21957818897252,-63.447387558766664,-63.368087848317884,-65.87127667546346,-63.408892790757314,-64.47355075569293,-65.11928891030831,-63.56759304450226,-65.31814001854876,-65.21957818897252,-63.251651964606694,-64.21157826890034,-63.44086998387228,-62.67000590388344,-64.92088330314243,-61.57590217853666,-65.18297369924251,-60.556957521012244,-65.1668652532104,-64.27838326123084,-61.57590217853666,-62.44847225393278,-63.881454212029524,-66.07917849223529,-66.61207197417296,-66.0732977918539,-66.0684433560916,-65.40563784811177,-61.63322214556191,-65.0253716342429,-66.02920247850714,-61.61577573231425,-63.58991168410373,-65.03997169621206,-65.11184246274557,-65.17803785477803,-63.35583990576833,-65.09069254521208,-63.446353152643695,-64.50986650114602,-63.42625121885374,-63.357657050217725,-64.9181636423474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
